Timestamp,Average_Difference,Total_Difference
1694953092.8359816,0,0.0
1694953097.1616168,0,0.0
1694953124.3880966,0,0.0
1694953126.8762178,0,0.0
1694953139.2884016,0,0.0
1694953149.4583342,0,0.0
1694953155.743943,0,0.0
1694953169.6977067,0,0.0
1694953171.2992709,0,0.0
1694953179.7980077,0.0770578384399414,0.0770578384399414
1694953182.5024815,0,0.0
1694953187.0309396,0,0.0
1694953187.1513615,0,0.0
1694953200.7406867,0,0.0
1694953210.0423386,0,0.0
1694953213.6264925,0.003507852554321289,0.003507852554321289
1694953244.65466,0,0.0
1694953254.012938,0.00057220458984375,0.00057220458984375
1694953263.293113,0,0.0
1694953263.5999563,0,0.0
1694953266.0749025,0,0.0
1694953266.2188902,0,0.0
1694953266.306424,0,0.0
1694953276.636558,0,0.0
1694953278.3241904,0,0.0
1694953285.4004586,0,0.0
1694953286.2076848,0,0.0
1694953287.5497582,0,0.0
1694953288.3857062,0.01081538200378418,0.02163076400756836
1694953291.4222991,0,0.0
1694953307.2930026,0,0.0
1694953320.372973,0,0.0
1694953321.2567427,0,0.0
1694953323.3654273,0,0.0
1694953325.9029987,0,0.0
1694953340.232921,0,0.0
1694953345.706768,0,0.0
1694953358.2906916,0,0.0
1694953363.7857687,0,0.0
1694953367.2003527,0,0.0
1694953376.7297208,0,0.0
1694953385.1121216,0,0.0
1694953387.4945543,0,0.0
1694953403.193585,0,0.0
1694953403.3273928,0,0.0
1694953417.2949908,0,0.0
1694953419.2726362,0,0.0
1694953421.4838197,0,0.0
1694953422.9448376,0,0.0
1694953425.8717613,0,0.0
1694953435.0728755,0,0.0
1694953436.408729,0,0.0
1694953441.4521077,0,0.0
1694953466.135553,0,0.0
1694953474.9942918,0,0.0
1694953475.9844954,0,0.0
1694953481.733648,0,0.0
1694953503.7922,0,0.0
1694953507.5088193,0,0.0
1694953511.4950838,0,0.0
1694953520.5491426,0,0.0
1694953542.7378237,0,0.0
1694953556.3146334,0,0.0
1694953563.4893465,0,0.0
1694953563.839039,0,0.0
1694953571.1845446,0,0.0
1694953579.2572718,0,0.0
1694953579.4073539,0.09181809425354004,0.09181809425354004
1694953590.6957471,0,0.0
1694953600.2458158,0,0.0
1694953601.7585413,0,0.0
1694953604.8506787,0,0.0
1694953606.8128676,0,0.0
1694953607.5727038,0,0.0
1694953638.1678212,0,0.0
1694953641.1814036,0,0.0
1694953648.0495522,0.0027794837951660156,0.0027794837951660156
1694953652.58641,0,0.0
1694953675.750821,0,0.0
1694953677.9522288,0,0.0
1694953682.8062804,0,0.0
1694953692.4626644,0.08966207504272461,0.08966207504272461
1694953701.53552,0,0.0
1694953701.6208048,0,0.0
1694953713.1988676,0,0.0
1694953715.481608,0,0.0
1694953727.118387,0,0.0
1694953734.5280724,0,0.0
